name,body_part,equipment,difficulty
90_Lat_Stretch,back,none,beginner
Ankle_Flexion,"legs_calves, legs_shins",resistance_bands,beginner
Anti-rotation_Reverse_Lunge,full_body,resistance_bands,beginner
Bent_Knee_Push-up,"arms, chest, shoulders",none,beginner
Bodyweight_Squat,"abs, butt_hips, legs_calves, legs_shina, legs_thighs",none,beginner
Calf_Raise,"legs_calves, legs_shins",weight_machine,beginner
Cat-Cow,"back, chest",none,beginner
Chest_Press,"arms, chest, shoulders","barbell, bench",beginner
Childs_Pose,"abs, back, butt_hips, legs_thighs",none,beginner
Cobra_Exercise,"abs, back",none,beginner
Contralateral_Limb_Raises,"back, butt_hips, shoulders",none,beginner
Crunch,abs,none,beginner
Decline_Plank,abs,bosu_trainer,beginner
Dirty_Dog,"abs, butt_hips",none,beginner
Forward_Hurdle_Run,"butt_hips, legs_calves, legs_shins",hurdles,beginner
Forward_Linear_Jumps,"butt_hips, full_body, legs_calves, legs_shins, legs_thighs",none,beginner
Forward_Stepping_over_Cones,"abs, butt_hips",cones,beginner
Front_Raise,shoulders,dumbbells,beginner
Glute_Bridge_Exercise,"abs, butt_hips",none,beginner
Glute_Press,butt_hips,weight_machine,beginner
Half-kneeling_Hay_Baler,abs,medicine_ball,beginner
Hip_Hinge,"butt_hips, leg_thighs",barbell,beginner
Incline_Chest_Press,"chest, shoulders","bench, dumbbells",beginner
Incline_Reverse_Fly,"back, shoulders","bench, dumbbells",beginner
Kneeling_ABCs,abs,stability_ball,beginner
Kneeling_Hip-flexor_Stretch,"butt_hips, legs_thighs",none,beginner
Kneeling_Lat_Stretch,back,bench,beginner
Kneeling_TA_Stretch,"butt_hips, legs_thighs",none,beginner
Lateral_Neck_Flexion,neck,none,beginner
Lateral_Raise,shoulders,dumbbells,beginner
Lateral_Shoulder_Raise,shoulders,weight_machine,beginner
Lateral_Shuffles,"butt_hips, legs_thighs",cones,beginner
Leg_Crossover_Stretch,"butt_hips, legs_thighs",none,beginner
Lying_Hamstrings_Curl,butt_hips,weight_machine,beginner
Modified_Hurdlers_Stretch,legs_thighs,none,beginner
Neck_Flexion_and_Extension,neck,none,beginner
Overhead_Triceps_Stretch,arms,none,beginner
Partner_Assisted_Bodyweight_Squats,"abs, butt_hips, legs_thighs",partner,beginner
Partner_Tricep_Extension,"abs, arms, butt_hips","partner, resistance_bands",beginner
Prone_Hamstrings_Curl,legs_thighs,resistance_bands,beginner
Quadruped_Bent-knee_Hip_Extensions,"abs, butt_hips",none,beginner
Rotator_Cuff_External_Rotation,shoulders,resistance_bands,beginner
Rotator_Cuff_Internal_Rotation,shoulders,resistance_bands,beginner
Seated_Bent-Knee_Biceps_Stretch,arms,none,beginner
Seated_Biceps_Curl,arms,"bench, dumbbells",beginner
Seated_Biceps Curl_Machine,arms,weight_machine,beginner
Seated_Butterfly_Stretch,legs_thighs,none,beginner
Seated_Cable_Press,chest,"resistance_bands, weight_machine",beginner
Seated_Calf_Stretch,"legs_calves, legs_shins",none,beginner
Seated_Chest_Press,chest,weight_machine,beginner
Seated_Close-Grip_Chest_Press,"arms, chest",weight_machine,beginner
Seated_Crunch,abs,weight_machine,beginner
Seated_Decline_Cable_Press,chest,"resistance_bands, weight_machine",beginner
Seated_High_Back_Row,"arms, back, shoulders","bench, resistance_bands",beginner
Seated_High_Back_Rows,"arms, back",weight_machine,beginner
Seated_Incline_Cable_Press, "chest","resistance_bands, weight_machine",beginner
Seated_Lat_Pulldown,back,weight_machine,beginner
Seated_Leg_Extension,legs_thighs,weight_machine,beginner
Seated_Leg_Press_Exercise,"butt_hips, legs_thighs",weight_machine,beginner
Seated_Machine_Close-Grip_Shoulder_Press,"arms, shoulders",weight_machine,beginner
Seated_Medicine_Ball_Trunk_Rotations,abs,medicine_ball,beginner
Seated_Row,"arms, back",resistance_bands,beginner
Seated_Row_Machine,"arms, back",weight_machine,beginner
Seated_Shoulder_Press,"arms, shoulders",weight_machine,beginner
Seated_Side-Straddle_Stretch,"abs, back, legs_thighs",none,beginner
Seated_Straddle_Stretch,"back, legs_thighs",none,beginner
Seated_Toe_Touches,"legs_calves, legs_shins, legs_thighs",none,beginner
Shoulder_Packing,"back, shoulders",none,beginner
Side_Lying_Hip_Abduction,butt_hips,none,beginner
Side_Lying_Hip_Adduction,"butt_hips, legs_thighs",none,beginner
Side_Lying_Quadriceps_Stretch,legs_thighs,none,beginner
Modified_Side_Plank,"abs, butt_hips",none,beginner
Single_Leg_Push-off,"butt_hips, legs_calves, legs_shins, legs_thighs",box,beginner
Single_Leg_Stand,abs,none,beginner
Single-arm_Lateral_Raise,shoulders,resistance_bands,beginner
Squat_Jump,"butt_hips, legs_thighs",none,beginner
Stability_Ball_Sit-ups,abs,stability_ball,beginner
Stability_Ball_Wall_Squats,"butt_hips, legs_thighs",stability_ball,beginner
Standing_Bicep_Curl,arms,resistance_bands,beginner
Standing_Calf_Raises,"legs_calves, legs_shins",none,beginner
Standing_Chest_Stretch,chest,none,beginner
Standing_Crunch,abs,none,beginner
Standing_Calf_Stretch,"legs_calves, legs_shins",none,beginner
Standing_Lunge_Stretch,"butt_hips, legs_thighs",none,beginner
Standing_Shoulder_Extension,arms,none,beginner
Step-up,"butt_hips, legs_thighs","dumbbells, box",beginner
Supermans,"back, butt_hips, shoulders",none,beginner
Hip_Rotator_Stretch,"butt_hips, legs_thighs","box, bench",beginner
Supine_Dead_Bug,abs,none,beginner
Supine_Hamstrings_Stretch,"legs_calves, legs_shins, legs_thighs",none,beginner
Supine_Hip_Flexor_Stretch,"butt_hips, legs_thighs",,beginner
Supine_Hollowing,abs,none,beginner
Supine_Pelvic_Tilts,abs,none,beginner
Supine_Reverse_Marches,abs,none,beginner
Supine_Rotator_Cuff,"abs, shoulders",none,beginner
Supine_Shoulder_Flexion,shoulders,none,beginner
Supine_Snow_Angel,"abs, chest, shoulders",none,beginner
Thomas_Stretch,"butt_hips, legs_thighs",none,beginner
Tricep_Extension,arms,weight_machine,beginner
Tricep_Pressdown,arms,resistance_bands,beginner
Triceps_Kickback,arms,dumbbells,beginner
Triceps_Pushdowns,arms,weight_machine,beginner
Upward_Facing_Dog,"abs, back",none,beginner
V_Sit_Partner_Rotations,abs,"partner, medicine_ball",beginner
V-raise,shoulders,dumbbells,beginner
Walking_Abduction,butt_hips,resistance_bands,beginner
Warrior,"butt_hips, full_body, legs_thighs",none,beginner
Wrist_Curl_Extension,arms,"bench, dumbbells",beginner
Wrist_Curl_Flexion,arms,"bench, dumbbells",beginner
Wrist_Supination_and_Pronation,arms,"bench, dumbbells",beginner
Bear_Crawl,full_body,none,intermediate
Bicep_Curl,arms,barbell,intermediate
Bird-dog,"abs, back, butt_hips",none,intermediate
BOSU_Squat_Jumps,"abs, butt_hips, legs_thighs",bosu_trainer,intermediate
Box_Jumps,"butt_hips, legs_calves, legs_shins, legs_thighs",box,intermediate
Calf_Raises,"legs_calves, legs_shins",barbell,intermediate
Chest_Press_Dumbbells,"arms, chest, shoulders","bench, dumbbells",intermediate
Chin-ups,"arms, back",pull_up_bar,intermediate
CKC_Parascapular,"chest, shoulders",none,intermediate
Close-grip_Bench_Press,"arms, chest",barbell,intermediate
Cycled_Split-Squat_Jump,"butt_hips, legs_calves, legs_shins, legs_thighs",none,intermediate
Diagonal_Raise,shoulders,dumbbells,intermediate
Downward-facing_Dog,"arms, back, butt_hips, full_body, legs_calves, legs_shins, legs_thighs",none,intermediate
Elevated_Glute_Bridge,butt_hips,"bench, dumbbells",intermediate
Farmers_Carry,full_body,dumbbells,intermediate
Figure_Eight,full_body,kettlebells,intermediate
Forward_Cone_Jumps,"butt_hips, legs_thighs",cones,intermediate
Forward_Linear_Ladder_Drill,full_body,ladder,intermediate
Forward_Lunge_Barbell,"butt_hips, legs_thighs",barbell,intermediate
Forward_Lunge,"abs, butt_hips, legs_thighs",none,intermediate
Front_Plank,"abs, back",none,intermediate
Front_Squat,"back, butt_hips, full_body, legs_thighs",dumbbells,intermediate
Glute_Bridge,"abs, butt_hips, legs_thighs",stability_ball,intermediate
Glute_Bridge_Single_Leg_Progression,"back, butt_hips, legs_thighs",none,intermediate
Goblet_Squat,"butt_hips, legs_thighs",dumbbells,intermediate
Half_Turkish_Get-up,full_body,kettlebells,intermediate
Hammer_Curl,arms,dumbbells,intermediate
High_Row,back,resistance_bands,intermediate
High-low_Partner_See-saw,full_body,resistance_bands,intermediate
Hip_Bridge,butt_hips,barbell,intermediate
Hip_Rotations,"abs, butt_hips, legs_thighs",none,intermediate
Jump_and_Reach,"butt_hips, legs_calves, legs_shins, legs_thighs",none,intermediate
Kneeling_Hay_Baler,full_body,resistance_bands,intermediate
Kneeling_Lat_Pulldown,back,resistance_bands,intermediate
Kneeling_Reverse_Fly,"back, shoulders",resistance_bands,intermediate
